Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS_AF,TIM1/TIM2,TIM3/TIM4/TIM5,TIM9/TIM10/TIM11,I2C1/I2C2/I2C3,SPI1/SPI2/I2S2/SPI3/I2S3/SPI4,SPI2/I2S2/SPI3/I2S3,SPI3/I2S3/USART1/USART2,USART6,I2C2/I2C3,OTG1_FS,,SDIO,,,,ADC
PortA,PA0,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA1,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA2,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA3,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA4,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA5,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA6,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA7,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA8,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA9,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA10,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA11,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA12,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA13,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA14,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA15,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB0,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB1,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB2,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB3,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB4,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB5,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB6,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB7,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB8,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB9,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB10,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB12,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB13,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB14,,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB15,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC0,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC1,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC2,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC3,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC4,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC5,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC6,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC7,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC8,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC9,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC10,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC11,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC12,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD1,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD2,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD3,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD4,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD5,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD6,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD7,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD8,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD9,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD10,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD11,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD12,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD13,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD14,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD15,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE0,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE1,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE2,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE3,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE4,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE5,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE6,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE7,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE8,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE9,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE10,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE11,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE12,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE13,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE14,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE15,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH0,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH1,,,,,,,,,,,,,,,,EVENTOUT,
